column_a,account_id,district_id,frequency
1,576,55,MONTHLY ISSUANCE
2,3818,74,MONTHLY ISSUANCE
3,704,55,MONTHLY ISSUANCE
4,2378,16,MONTHLY ISSUANCE
5,2632,24,MONTHLY ISSUANCE
6,1972,77,MONTHLY ISSUANCE
7,1539,1,ISSUANCE AFTER TRANSACTION
8,793,47,MONTHLY ISSUANCE
9,2484,74,MONTHLY ISSUANCE
10,1695,76,MONTHLY ISSUANCE
11,1726,48,MONTHLY ISSUANCE
12,2881,70,MONTHLY ISSUANCE
13,2357,19,MONTHLY ISSUANCE
14,2177,62,MONTHLY ISSUANCE
15,485,6,ISSUANCE AFTER TRANSACTION
16,652,21,MONTHLY ISSUANCE
17,9635,70,MONTHLY ISSUANCE
18,1844,44,MONTHLY ISSUANCE
19,1926,37,MONTHLY ISSUANCE
20,2393,10,MONTHLY ISSUANCE
21,3510,41,MONTHLY ISSUANCE
22,1276,36,MONTHLY ISSUANCE
23,1637,1,MONTHLY ISSUANCE
24,3871,26,MONTHLY ISSUANCE
25,192,55,MONTHLY ISSUANCE
26,764,1,MONTHLY ISSUANCE
27,2087,7,WEEKLY ISSUANCE
28,2122,68,MONTHLY ISSUANCE
29,3592,54,MONTHLY ISSUANCE
30,3487,41,MONTHLY ISSUANCE
31,435,38,MONTHLY ISSUANCE
32,1730,1,MONTHLY ISSUANCE
33,1493,41,MONTHLY ISSUANCE
34,374,38,MONTHLY ISSUANCE
35,2925,1,MONTHLY ISSUANCE
36,866,9,MONTHLY ISSUANCE
37,1628,60,MONTHLY ISSUANCE
38,2379,44,MONTHLY ISSUANCE
39,1979,26,MONTHLY ISSUANCE
40,346,37,MONTHLY ISSUANCE
41,1338,74,MONTHLY ISSUANCE
42,1909,14,MONTHLY ISSUANCE
43,2099,3,WEEKLY ISSUANCE
44,3760,44,MONTHLY ISSUANCE
45,5270,44,MONTHLY ISSUANCE
46,1699,53,MONTHLY ISSUANCE
47,3909,1,MONTHLY ISSUANCE
48,2926,50,MONTHLY ISSUANCE
49,1731,33,MONTHLY ISSUANCE
50,11265,15,MONTHLY ISSUANCE
51,2519,4,MONTHLY ISSUANCE
52,10364,55,MONTHLY ISSUANCE
53,1481,15,MONTHLY ISSUANCE
54,401,32,MONTHLY ISSUANCE
55,4034,1,MONTHLY ISSUANCE
56,2330,54,MONTHLY ISSUANCE
57,1806,40,MONTHLY ISSUANCE
58,3834,54,MONTHLY ISSUANCE
59,1222,66,MONTHLY ISSUANCE
60,212,27,WEEKLY ISSUANCE
61,456,49,MONTHLY ISSUANCE
62,459,47,MONTHLY ISSUANCE
63,772,45,MONTHLY ISSUANCE
64,1019,52,MONTHLY ISSUANCE
65,11295,74,MONTHLY ISSUANCE
66,2970,60,MONTHLY ISSUANCE
67,2676,73,MONTHLY ISSUANCE
68,1536,41,WEEKLY ISSUANCE
69,1179,74,MONTHLY ISSUANCE
70,280,25,MONTHLY ISSUANCE
71,2425,41,MONTHLY ISSUANCE
72,9307,68,MONTHLY ISSUANCE
73,4055,23,MONTHLY ISSUANCE
74,5065,66,MONTHLY ISSUANCE
75,3704,75,MONTHLY ISSUANCE
76,477,1,MONTHLY ISSUANCE
77,5891,54,MONTHLY ISSUANCE
78,1000,77,MONTHLY ISSUANCE
79,1750,1,MONTHLY ISSUANCE
80,2023,68,MONTHLY ISSUANCE
81,6473,12,MONTHLY ISSUANCE
82,1649,46,MONTHLY ISSUANCE
83,2670,13,MONTHLY ISSUANCE
84,1127,27,MONTHLY ISSUANCE
85,163,30,MONTHLY ISSUANCE
86,2566,48,MONTHLY ISSUANCE
87,9,70,MONTHLY ISSUANCE
88,1144,59,MONTHLY ISSUANCE
89,2902,32,MONTHLY ISSUANCE
90,4296,63,MONTHLY ISSUANCE
91,443,64,MONTHLY ISSUANCE
92,3693,61,MONTHLY ISSUANCE
93,2070,72,MONTHLY ISSUANCE
94,1843,12,MONTHLY ISSUANCE
95,2714,1,MONTHLY ISSUANCE
96,4078,40,MONTHLY ISSUANCE
97,1675,36,MONTHLY ISSUANCE
98,5868,44,MONTHLY ISSUANCE
99,1805,1,MONTHLY ISSUANCE
100,2434,17,MONTHLY ISSUANCE
101,3007,16,MONTHLY ISSUANCE
102,2574,68,MONTHLY ISSUANCE
103,862,64,WEEKLY ISSUANCE
104,1132,1,WEEKLY ISSUANCE
105,4484,54,MONTHLY ISSUANCE
106,943,1,MONTHLY ISSUANCE
107,3514,7,MONTHLY ISSUANCE
108,3983,67,MONTHLY ISSUANCE
109,9265,1,MONTHLY ISSUANCE
110,465,32,MONTHLY ISSUANCE
111,982,54,MONTHLY ISSUANCE
112,411,70,MONTHLY ISSUANCE
113,890,14,MONTHLY ISSUANCE
114,627,63,MONTHLY ISSUANCE
115,2429,61,MONTHLY ISSUANCE
116,3960,64,MONTHLY ISSUANCE
117,2256,48,MONTHLY ISSUANCE
118,8051,1,WEEKLY ISSUANCE
119,2647,73,MONTHLY ISSUANCE
120,2241,6,MONTHLY ISSUANCE
121,5622,70,MONTHLY ISSUANCE
122,2884,1,MONTHLY ISSUANCE
123,1830,10,MONTHLY ISSUANCE
124,7753,74,MONTHLY ISSUANCE
125,244,24,MONTHLY ISSUANCE
126,1477,1,MONTHLY ISSUANCE
127,4240,50,MONTHLY ISSUANCE
128,1006,6,MONTHLY ISSUANCE
129,830,74,MONTHLY ISSUANCE
130,9188,45,MONTHLY ISSUANCE
131,1965,57,ISSUANCE AFTER TRANSACTION
